account_value,date,daily_return
877395.0960542511,2022-10-04,
875256.9207046342,2022-10-05,-0.002436958400192313
869068.774277098,2022-10-06,-0.007070091399625111
855035.0418298666,2022-10-07,-0.016148011368726123
852669.213025141,2022-10-10,-0.002766937831766958
850308.8940889457,2022-10-11,-0.002768153112766125
848650.8804259246,2022-10-12,-0.0019498957079563395
870976.9068032668,2022-10-13,0.026307668904010484
857002.2553324112,2022-10-14,-0.016044801373835127
875603.2264848388,2022-10-17,0.021704693350209192
887469.5894038756,2022-10-18,0.013552214701943344
877133.9340674956,2022-10-19,-0.011646207892399563
868406.946083792,2022-10-20,-0.009949436049332072
896852.8392837127,2022-10-21,0.03275640911003941
909183.0615394195,2022-10-24,0.01374832270760784
924789.3773219665,2022-10-25,0.017165207363325274
931254.0227325042,2022-10-26,0.006990397564100803
943891.4735801299,2022-10-27,0.013570358397534399
973484.0508983214,2022-10-28,0.03135167352020729
967126.2084624846,2022-10-31,-0.00653101859241545
966819.2332065185,2022-11-01,-0.00031740971682925334
946003.8919990142,2022-11-02,-0.021529713614062973
938214.7474963744,2022-11-03,-0.008233734098260892
953197.043488272,2022-11-04,0.01596894104668234
963965.2544486602,2022-11-07,0.011296941208484457
968189.0705115874,2022-11-08,0.004381709862917305
942566.1097800811,2022-11-09,-0.026464831624227303
992072.4813296874,2022-11-10,0.052522970045206785
998106.7678191741,2022-11-11,0.006082505666721971
991608.8549983581,2022-11-14,-0.006510238213306319
999167.5656707366,2022-11-15,0.007622673632125876
996853.965067633,2022-11-16,-0.0023155281282079
993763.2511947234,2022-11-17,-0.0031004680537132234
998204.4310214599,2022-11-18,0.0044690521825969665
1003474.5191485961,2022-11-21,0.005279567955577269
1019424.9767577727,2022-11-22,0.015895229330496585
1021072.3884837707,2022-11-23,0.0016160205641002623
1025464.0904243072,2022-11-25,0.004301068161345345
1006352.3613135894,2022-11-28,-0.01863715101209429
1005399.5808017333,2022-11-29,-0.0009467663101743184
1029016.0144622405,2022-11-30,0.023489599669093586
1027760.1648395141,2022-12-01,-0.001220437393661733
1029835.5059440215,2022-12-02,0.002019285408703775
1009655.8171031554,2022-12-05,-0.019595060302730505
995656.5317103942,2022-12-06,-0.013865403591619141
997095.5317981322,2022-12-07,0.0014452776051858685
1004532.1441333373,2022-12-08,0.007458274656786612
996696.4145686706,2022-12-09,-0.0078003771312137316
1015442.1848437865,2022-12-12,0.01880790379207742
1021539.8879249175,2022-12-13,0.00600497317537485
1019711.31484104,2022-12-14,-0.001790016332687716
994634.2591464599,2022-12-15,-0.024592308950194708
990129.9376323302,2022-12-16,-0.004528620920412507
980141.2235076507,2022-12-19,-0.010088286138045022
983100.7758929809,2022-12-20,0.0030195162843358325
997571.4185931762,2022-12-21,0.014719388952827428
985962.6906573852,2022-12-22,-0.01163698931166468
992890.3742225249,2022-12-23,0.0070263141098378945
994670.7966601928,2022-12-27,0.001793171213954059
983028.6312377532,2022-12-28,-0.01170454130304266
996038.1788146575,2022-12-29,0.013234149203287915
992457.309277304,2022-12-30,-0.0035951127311354414
992863.9802405913,2023-01-03,0.0004097616688252259
